-1,Almind Sparekasse
-1,Århus Andelskasse
-1,ArosMaizels Investment Bank A/S
-1,Astrup-Tulstrup-Hvilsted Sparekasse
-1,BG Bank A/S
-1,Den Jyske Sparekasse A/S
-1,Dragstrup-Skallerup Sparekasse
-1,Hassing-Villerslev Sparekasse
-1,Helligsø-Gettrup Sparekasse
-1,Holstebro Andelskasse J.A.K
-1,Hover Sparekasse
-1,Hvilsager-Lime Sparekasse
-1,J.A.K. Østfyns Andelskasse
-1,"JAK-Andelskassen, Hjørring"
-1,Jelstrup-Lyngby Sparekasse
-1,Lunar Bank A/S
-1,"Midtbank, Aktieselskab"
-1,Morsø Andelskasse JAK
-1,Nees Sparekasse
-1,Nordea Investment Management Bank A/S
-1,Nordea Securities Bank Danmark A/S
-1,Nykredit Portefølje Bank A/S
-1,Øster og Vester Alling Sparekasse
-1,"Ravsted, Sparekassen"
-1,Saxo Privatbank A/S
-1,Saxo Treasury Bank A/S
-1,Sdr. Lem Andelskasse
-1,SkandiaBanken A/S
-1,Spare- og Laanekassen i Vium Sogn
-1,Sparebank Østjylland
-1,Sparekassen Fyn A/S
-1,Sparekassen Limfjorden
-1,"Tarm Bank, Aktieselskabet"
-1,Thiset og Omegns Spare- Og Lånekasse
-1,Tødsø-Erslev Sparekasse
400,Lån & Spar Bank A/S
522,Sparekassen Sjælland-Fyn A/S
537,Dragsholm Sparekasse
544,Refsnæs Sparekasse
547,"Arts Herred, Sparekassen for"
570,Bank Trelleborg A/S
577,Flakkebjerg og Omegns Sparekasse
579,Sparekassen Den lille Bikube
580,Hårslev Sparekasse
631,Kongsted Sparekasse
634,Snesere Sogns Spare- og Lånekasse
644,Fanefjord Sparekasse
681,"Lolland A/S, Sparekassen"
725,Fionia Bank A/S
755,Middelfart Sparekasse
800,Flemløse Sparekasse
844,Fynske Bank A/S
847,Rise Flemløse Sparekasse
1149,Saxo Bank A/S
1671,Basisbank A/S
1693,Canto Bank A/S
1693,PFA Bank A/S
2222,Nordea Bank Danmark A/S
3000,Danske Bank A/S
5125,Leasing Fyn Bank A/S
5140,Finansbanken A/S
5201,Amagerbanken
